State,Charging_Stations_Sanctioned,Total_EV_Registrations,Two_Wheeler_Sales,Three_Wheeler_Sales,Four_Wheeler_Sales,Goods_Vehicle_Sales,PSV_Sales,Special_Vehicle_Sales,Ambulance_Sales,Construction_Vehicle_Sales,Other_Vehicle_Sales,Total_Vehicle_Sales,Region,EV_Market_Share_Pct,Charging_Infrastructure_Share_Pct,EVs_per_Charging_Station,Total_Major_Vehicle_Sales,Two_Wheeler_Percentage,Three_Wheeler_Percentage,Four_Wheeler_Percentage,Regional_EV_Total,Regional_Charging_Total,Regional_Sales_Total,Performance_Category,Infrastructure_Readiness_Score
Andhra Pradesh,266.0,51322.0,27300.5,3292.5,1324.0,98.0,30.0,0.0,0.5,0.0,105.0,32659.0,South,2.36,9.28,192.9,31917.0,85.5,10.3,4.1,432932.0,1078.0,214296.0,Leading,5.2
Arunachal Pradesh,0.0,24.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,Northeast,0.0,0.0,inf,19.0,73.7,0.0,26.3,108474.0,89.0,58744.0,Emerging,0.0
Assam,20.0,94929.0,721.0,47041.0,161.0,7.0,15.0,0.0,0.0,0.0,2.0,47947.0,Northeast,4.37,0.7,4746.4,47923.0,1.5,98.2,0.3,108474.0,89.0,58744.0,Leading,0.2
Bihar,37.0,128885.0,5003.0,59079.0,114.0,11.0,26.0,0.0,0.0,0.0,8.0,64241.0,East,5.94,1.29,3483.4,64196.0,7.8,92.0,0.2,260354.0,196.0,132985.0,Leading,0.3
Chandigarh,70.0,5533.0,298.0,1410.0,182.0,0.0,40.0,0.0,0.0,0.0,1.0,1931.0,North,0.25,2.44,79.0,1890.0,15.8,74.6,9.6,950653.0,649.0,533698.0,Developing,10.0
Chhattisgarh,25.0,40516.0,6424.0,5341.0,117.0,1077.0,1.0,0.0,0.0,368.0,100.0,13428.0,Central,1.87,0.87,1620.6,11882.0,54.1,45.0,1.0,83473.0,260.0,26856.0,Growing,0.6
Dadra and Nagar Haveli and Daman and Diu,0.0,303.0,69.0,36.0,153.0,2.0,10.0,7.0,0.0,0.0,0.0,277.0,West,0.01,0.0,inf,258.0,26.7,14.0,59.3,334383.0,595.0,78371.0,Emerging,0.0
Delhi,72.0,203263.0,14730.0,112831.0,3051.0,49.0,39.0,0.0,0.0,0.0,1602.0,132302.0,North,9.37,2.51,2823.1,130612.0,11.3,86.4,2.3,950653.0,649.0,533698.0,Leading,0.4
Goa,0.0,8710.0,1314.0,28.0,289.0,13.0,36.0,2.0,0.0,0.0,4.0,1686.0,West,0.4,0.0,inf,1631.0,80.6,1.7,17.7,334383.0,595.0,78371.0,Developing,0.0
Gujarat,278.0,99236.0,13662.0,1869.0,1309.0,28.0,278.0,344.0,0.0,26.0,77.0,17593.0,West,4.57,9.7,357.0,16840.0,81.1,11.1,7.8,334383.0,595.0,78371.0,Leading,2.8
Haryana,50.0,56243.0,7777.0,18595.0,186.0,122.0,8.0,2.0,0.0,0.0,90.0,26780.0,North,2.59,1.74,1124.9,26558.0,29.3,70.0,0.7,950653.0,649.0,533698.0,Leading,0.9
Himachal Pradesh,10.0,1877.0,368.0,167.0,37.0,7.0,86.0,0.0,0.0,0.0,46.0,711.0,North,0.09,0.35,187.7,572.0,64.3,29.2,6.5,950653.0,649.0,533698.0,Developing,5.3
Jammu and Kashmir,25.0,7080.0,1417.0,43.0,10.0,6.0,43.0,0.0,0.0,0.0,8.0,1527.0,North,0.33,0.87,283.2,1470.0,96.4,2.9,0.7,950653.0,649.0,533698.0,Developing,3.5
Jharkhand,0.0,28395.0,2961.0,8986.0,139.0,24.0,4.0,0.0,0.0,0.0,57.0,12171.0,East,1.31,0.0,inf,12086.0,24.5,74.4,1.2,260354.0,196.0,132985.0,Growing,0.0
Karnataka,172.0,183536.0,56737.0,16478.0,7212.0,153.0,44.0,1.0,1.0,0.0,1420.0,82046.0,South,8.46,6.0,1067.1,80427.0,70.5,20.5,9.0,432932.0,1078.0,214296.0,Leading,0.9
Kerala,211.0,65545.0,10299.0,2115.0,2524.0,43.0,23.0,0.0,1.0,0.0,17.0,15022.0,South,3.02,7.36,310.6,14938.0,68.9,14.2,16.9,432932.0,1078.0,214296.0,Leading,3.2
Ladakh,0.0,47.0,12.0,0.0,5484.0,0.0,0.0,0.0,0.0,0.0,0.0,5496.0,North,0.0,0.0,inf,5496.0,0.2,0.0,99.8,950653.0,649.0,533698.0,Emerging,0.0
Madhya Pradesh,235.0,42957.0,6424.0,5341.0,117.0,1077.0,1.0,0.0,0.0,368.0,100.0,13428.0,Central,1.98,8.2,182.8,11882.0,54.1,45.0,1.0,83473.0,260.0,26856.0,Growing,5.5
Maharashtra,317.0,226134.0,51149.0,6155.0,2.0,30.0,851.0,26.0,1.0,0.0,601.0,58815.0,West,10.42,11.06,713.4,57306.0,89.3,10.7,0.0,334383.0,595.0,78371.0,Leading,1.4
Manipur,0.0,1052.0,86.0,443.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,540.0,Northeast,0.05,0.0,inf,538.0,16.0,82.3,1.7,108474.0,89.0,58744.0,Developing,0.0
Meghalaya,40.0,83.0,16.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,Northeast,0.0,1.4,2.1,25.0,64.0,24.0,12.0,108474.0,89.0,58744.0,Emerging,10.0
Mizoram,0.0,76.0,9.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,20.0,Northeast,0.0,0.0,inf,14.0,64.3,7.1,28.6,108474.0,89.0,58744.0,Emerging,0.0
